#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2011,1,1,0,12,999,99.0,99.0,0.97,11.11,8.69,350,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,0,42,999,99.0,99.0,0.97,11.11,8.73,347,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,1,12,999,99.0,99.0,1.02,11.11,8.65,349,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,1,42,999,99.0,99.0,0.94,10.53,8.75,344,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,2,12,999,99.0,99.0,1.02,10.53,8.77,344,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,2,42,999,99.0,99.0,1.04,11.11,9.13,346,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,3,12,999,99.0,99.0,0.96,11.76,8.93,352,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,3,42,999,99.0,99.0,0.89,10.53,9.08,343,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,4,12,999,99.0,99.0,0.78,10.53,8.89,347,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,4,42,999,99.0,99.0,0.96,11.11,9.55,347,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,1,5,12,999,99.0,99.0,0.83,11.11,9.47,346,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,5,42,999,99.0,99.0,0.80,11.11,9.49,349,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,6,12,999,99.0,99.0,0.86,11.11,9.67,344,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,6,42,999,99.0,99.0,0.82,11.11,9.66,349,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,7,12,999,99.0,99.0,0.89,11.11,9.97,344,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,7,42,999,99.0,99.0,0.79,11.11,9.54,344,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,8,12,999,99.0,99.0,0.71,10.53,9.38,346,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,8,42,999,99.0,99.0,0.68,11.76,9.72,350,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,9,12,999,99.0,99.0,0.70,10.53,9.66,344,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,9,42,999,99.0,99.0,0.60,11.76,9.36,350,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,10,12,999,99.0,99.0,0.65,10.53,9.75,343,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,10,42,999,99.0,99.0,0.60,11.11,9.47,346,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,11,12,999,99.0,99.0,0.63,11.76,9.68,353,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,11,42,999,99.0,99.0,0.55,12.50,9.76,353,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,12,42,999,99.0,99.0,0.56,11.76,9.37,346,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,13,12,999,99.0,99.0,0.57,11.76,9.26,346,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,13,42,999,99.0,99.0,0.56,11.76,9.21,343,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,14,12,999,99.0,99.0,0.56,11.11,9.33,347,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,14,42,999,99.0,99.0,0.48,10.53,8.82,343,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,15,12,999,99.0,99.0,0.57,11.11,9.39,344,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,15,42,999,99.0,99.0,0.72,11.76,9.82,347,9999.0,999.0,12.0,999.0,99.0,99.00
2011,1,1,16,12,999,99.0,99.0,0.67,11.76,9.41,343,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,16,42,999,99.0,99.0,0.69,10.53,8.49,342,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,17,12,999,99.0,99.0,0.69,10.53,8.74,340,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,17,42,999,99.0,99.0,0.76,10.53,8.67,347,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,18,12,999,99.0,99.0,0.79,11.76,8.40,344,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,18,42,999,99.0,99.0,0.70,11.11,7.92,346,9999.0,999.0,12.1,999.0,99.0,99.00
2011,1,1,19,12,999,99.0,99.0,0.75,10.53,8.38,343,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,19,42,999,99.0,99.0,0.77,10.53,9.29,344,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,20,12,999,99.0,99.0,0.67,11.11,9.24,350,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,20,42,999,99.0,99.0,0.73,10.53,8.06,343,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,21,12,999,99.0,99.0,0.61,11.11,7.57,349,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,21,42,999,99.0,99.0,0.61,11.11,7.79,347,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,22,12,999,99.0,99.0,0.63,11.11,6.59,347,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,22,42,999,99.0,99.0,0.60,11.11,6.19,350,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,23,12,999,99.0,99.0,0.56,10.53,6.15,339,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,1,23,42,999,99.0,99.0,0.52,11.11,6.17,352,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,2,0,12,999,99.0,99.0,0.55,10.53,6.18,344,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,2,0,42,999,99.0,99.0,0.54,11.76,6.10,347,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,2,1,12,999,99.0,99.0,0.65,11.76,6.30,346,9999.0,999.0,12.3,999.0,99.0,99.00
2011,1,2,1,42,999,99.0,99.0,0.54,12.50,5.64,354,9999.0,999.0,12.2,999.0,99.0,99.00
2011,1,2,2,12,999,99.0,99.0,0.50,12.50,6.15,354,9999.0,999.0,12.3,999.0,99.0,99.00
