#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2018,1,1,0,21,999,99.0,99.0,0.51,10.53,8.95,348,9999.0,999.0,13.6,999.0,99.0,99.00
2018,1,1,0,51,999,99.0,99.0,0.43,11.11,8.76,352,9999.0,999.0,13.6,999.0,99.0,99.00
2018,1,1,1,21,999,99.0,99.0,0.44,10.53,8.82,346,9999.0,999.0,13.6,999.0,99.0,99.00
2018,1,1,1,51,999,99.0,99.0,0.47,10.53,9.00,351,9999.0,999.0,13.6,999.0,99.0,99.00
2018,1,1,2,21,999,99.0,99.0,0.46,11.11,8.83,349,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,2,51,999,99.0,99.0,0.47,11.11,8.88,348,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,3,21,999,99.0,99.0,0.44,10.53,8.70,346,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,3,51,999,99.0,99.0,0.41,10.53,8.65,348,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,4,21,999,99.0,99.0,0.44,11.11,8.91,349,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,4,51,999,99.0,99.0,0.41,11.11,8.80,349,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,5,21,999,99.0,99.0,0.43,11.11,8.97,345,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,5,51,999,99.0,99.0,0.40,11.11,8.58,346,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,6,21,999,99.0,99.0,0.39,11.11,8.65,353,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,6,51,999,99.0,99.0,0.37,11.11,8.52,349,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,7,21,999,99.0,99.0,0.36,10.53,8.52,343,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,7,51,999,99.0,99.0,0.37,10.53,8.60,343,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,8,21,999,99.0,99.0,0.35,10.53,8.50,346,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,8,51,999,99.0,99.0,0.35,11.11,8.57,345,9999.0,999.0,13.4,999.0,99.0,99.00
2018,1,1,9,21,999,99.0,99.0,0.36,11.11,8.88,348,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,9,51,999,99.0,99.0,0.34,10.53,8.71,345,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,10,21,999,99.0,99.0,0.38,9.88,9.01,338,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,10,51,999,99.0,99.0,0.32,10.53,8.42,345,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,11,21,999,99.0,99.0,0.37,10.53,8.78,342,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,11,51,999,99.0,99.0,0.34,10.53,8.80,342,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,12,21,999,99.0,99.0,0.35,9.88,8.94,343,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,12,51,999,99.0,99.0,0.34,9.88,8.61,342,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,13,21,999,99.0,99.0,0.35,9.88,8.40,341,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,13,51,999,99.0,99.0,0.37,9.88,8.89,338,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,14,21,999,99.0,99.0,0.33,9.88,8.76,342,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,14,51,999,99.0,99.0,0.39,9.88,7.84,341,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,15,21,999,99.0,99.0,0.35,9.88,8.95,334,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,15,51,999,99.0,99.0,0.32,9.88,9.01,331,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,16,21,999,99.0,99.0,0.37,9.88,9.18,342,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,16,51,999,99.0,99.0,0.34,9.88,7.79,343,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,17,21,999,99.0,99.0,0.33,10.53,6.71,336,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,17,51,999,99.0,99.0,0.35,10.53,5.88,338,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,18,21,999,99.0,99.0,0.42,9.88,4.98,336,9999.0,999.0,13.5,999.0,99.0,99.00
2018,1,1,18,51,999,99.0,99.0,0.41,16.67,5.11,353,9999.0,999.0,13.6,999.0,99.0,99.00
2018,1,1,19,21,999,99.0,99.0,0.43,16.67,4.15,345,9999.0,999.0,13.6,999.0,99.0,99.00
