#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,deg ,   hPa , degC  ,degC , degC , nmi ,   ft
2023,5,1,0,26,999,99.0,99.0,1.17,12.50,4.79,342,9999.0,999.0,11.9,999.0,99.0,99.00
2023,5,1,0,56,999,99.0,99.0,1.23,5.26,4.87,332,9999.0,999.0,11.8,999.0,99.0,99.00
2023,5,1,1,26,999,99.0,99.0,1.26,5.26,4.83,331,9999.0,999.0,11.8,999.0,99.0,99.00
2023,5,1,1,56,999,99.0,99.0,1.14,5.00,4.62,328,9999.0,999.0,11.8,999.0,99.0,99.00
2023,5,1,2,26,999,99.0,99.0,1.04,4.76,4.74,334,9999.0,999.0,11.8,999.0,99.0,99.00
2023,5,1,2,56,999,99.0,99.0,1.01,12.50,4.78,349,9999.0,999.0,11.7,999.0,99.0,99.00
2023,5,1,3,26,999,99.0,99.0,1.04,12.50,4.95,353,9999.0,999.0,11.8,999.0,99.0,99.00
2023,5,1,3,56,999,99.0,99.0,1.15,16.67,5.14,2,9999.0,999.0,11.7,999.0,99.0,99.00
2023,5,1,4,26,999,99.0,99.0,1.04,12.50,5.19,358,9999.0,999.0,11.7,999.0,99.0,99.00
2023,5,1,4,56,999,99.0,99.0,1.07,16.67,5.62,3,9999.0,999.0,11.7,999.0,99.0,99.00
2023,5,1,5,26,999,99.0,99.0,1.01,16.67,5.68,6,9999.0,999.0,11.6,999.0,99.0,99.00
2023,5,1,5,56,999,99.0,99.0,1.00,16.67,5.69,5,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,6,26,999,99.0,99.0,1.02,16.67,6.40,19,9999.0,999.0,11.6,999.0,99.0,99.00
2023,5,1,6,56,999,99.0,99.0,1.04,16.67,6.51,14,9999.0,999.0,11.6,999.0,99.0,99.00
2023,5,1,7,26,999,99.0,99.0,0.96,15.38,6.45,14,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,7,56,999,99.0,99.0,0.97,16.67,6.73,16,9999.0,999.0,11.4,999.0,99.0,99.00
2023,5,1,8,26,999,99.0,99.0,0.98,14.29,6.70,0,9999.0,999.0,11.4,999.0,99.0,99.00
2023,5,1,8,56,999,99.0,99.0,1.07,15.38,7.24,12,9999.0,999.0,11.4,999.0,99.0,99.00
2023,5,1,9,26,999,99.0,99.0,0.99,14.29,7.11,358,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,9,56,999,99.0,99.0,1.20,13.33,8.82,358,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,10,26,999,99.0,99.0,1.17,14.29,8.44,3,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,10,56,999,99.0,99.0,1.25,14.29,8.77,5,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,11,26,999,99.0,99.0,1.31,12.50,8.93,355,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,11,56,999,99.0,99.0,1.45,12.50,9.36,353,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,12,26,999,99.0,99.0,1.29,13.33,8.79,356,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,12,56,999,99.0,99.0,1.46,12.50,9.19,353,9999.0,999.0,11.5,999.0,99.0,99.00
2023,5,1,13,26,999,99.0,99.0,1.52,14.29,9.48,359,9999.0,999.0,11.4,999.0,99.0,99.00
2023,5,1,13,56,999,99.0,99.0,1.52,11.76,9.14,348,9999.0,999.0,11.3,999.0,99.0,99.00
2023,5,1,14,26,999,99.0,99.0,1.35,11.11,8.60,349,9999.0,999.0,11.3,999.0,99.0,99.00
2023,5,1,14,56,999,99.0,99.0,1.52,11.11,8.74,348,9999.0,999.0,11.3,999.0,99.0,99.00
2023,5,1,15,26,999,99.0,99.0,1.45,11.11,8.33,348,9999.0,999.0,11.3,999.0,99.0,99.00
