#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2015,1,2,1,51,999,99.0,99.0,0.52,11.11,8.74,348,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,2,21,999,99.0,99.0,0.52,11.76,8.73,349,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,2,51,999,99.0,99.0,0.49,12.50,8.90,348,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,3,21,999,99.0,99.0,0.55,11.11,9.49,351,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,3,51,999,99.0,99.0,0.50,11.76,9.32,346,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,4,21,999,99.0,99.0,0.46,11.76,9.27,346,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,4,51,999,99.0,99.0,0.44,11.76,9.21,348,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,5,21,999,99.0,99.0,0.48,10.53,9.03,342,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,5,51,999,99.0,99.0,0.45,11.76,8.83,336,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,6,21,999,99.0,99.0,0.44,11.11,8.40,343,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,6,51,999,99.0,99.0,0.43,11.11,8.35,342,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,7,21,999,99.0,99.0,0.44,11.76,8.74,345,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,7,51,999,99.0,99.0,0.44,11.76,8.10,351,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,8,21,999,99.0,99.0,0.45,9.88,8.15,343,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,8,51,999,99.0,99.0,0.50,12.50,8.69,351,9999.0,999.0,12.9,999.0,99.0,99.00
2015,1,2,9,21,999,99.0,99.0,0.46,14.29,8.22,355,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,9,51,999,99.0,99.0,0.50,9.88,8.02,343,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,10,21,999,99.0,99.0,0.46,13.33,7.61,359,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,10,51,999,99.0,99.0,0.47,9.88,8.05,341,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,11,21,999,99.0,99.0,0.50,13.33,8.48,356,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,11,51,999,99.0,99.0,0.47,13.33,8.48,353,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,12,21,999,99.0,99.0,0.44,13.33,8.16,356,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,12,51,999,99.0,99.0,0.42,13.33,7.53,355,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,13,21,999,99.0,99.0,0.49,13.33,8.41,358,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,13,51,999,99.0,99.0,0.55,12.50,9.18,353,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,14,21,999,99.0,99.0,0.48,13.33,7.99,0,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,14,51,999,99.0,99.0,0.49,13.33,8.19,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,15,21,999,99.0,99.0,0.48,13.33,8.00,349,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,15,51,999,99.0,99.0,0.52,13.33,8.39,352,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,16,51,999,99.0,99.0,0.56,12.50,8.45,353,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,17,21,999,99.0,99.0,0.52,13.33,8.08,359,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,2,17,51,999,99.0,99.0,0.55,13.33,8.49,356,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,18,21,999,99.0,99.0,0.61,13.33,8.48,356,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,18,51,999,99.0,99.0,0.58,12.50,8.25,349,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,19,21,999,99.0,99.0,0.64,13.33,8.67,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,19,51,999,99.0,99.0,0.54,12.50,6.76,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,20,21,999,99.0,99.0,0.62,12.50,8.07,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,20,51,999,99.0,99.0,0.61,13.33,9.25,356,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,21,21,999,99.0,99.0,0.59,12.50,9.57,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,21,51,999,99.0,99.0,0.56,12.50,9.27,353,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,22,21,999,99.0,99.0,0.61,12.50,9.66,352,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,2,22,51,999,99.0,99.0,0.52,12.50,9.80,353,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,2,23,21,999,99.0,99.0,0.48,12.50,9.46,353,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,2,23,51,999,99.0,99.0,0.54,13.33,9.13,352,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,0,21,999,99.0,99.0,0.57,12.50,9.84,355,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,0,51,999,99.0,99.0,0.55,11.76,9.84,348,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,1,21,999,99.0,99.0,0.49,11.76,9.37,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,1,51,999,99.0,99.0,0.50,12.50,9.51,353,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,2,21,999,99.0,99.0,0.54,11.76,9.61,348,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,2,51,999,99.0,99.0,0.49,11.11,9.24,346,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,3,21,999,99.0,99.0,0.49,12.50,9.53,353,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,3,51,999,99.0,99.0,0.50,12.50,9.83,345,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,4,21,999,99.0,99.0,0.47,11.76,9.03,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,4,51,999,99.0,99.0,0.67,12.50,7.19,348,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,5,21,999,99.0,99.0,0.58,11.76,6.16,348,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,3,5,51,999,99.0,99.0,0.51,11.76,6.24,349,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,3,6,21,999,99.0,99.0,0.51,11.76,6.86,351,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,6,51,999,99.0,99.0,0.57,11.76,7.69,351,9999.0,999.0,13.0,999.0,99.0,99.00
2015,1,3,7,21,999,99.0,99.0,0.48,11.11,6.88,348,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,7,51,999,99.0,99.0,0.45,11.11,7.12,342,9999.0,999.0,13.1,999.0,99.0,99.00
2015,1,3,8,21,999,99.0,99.0,0.49,12.50,7.40,351,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,8,51,999,99.0,99.0,0.48,12.50,7.21,352,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,9,21,999,99.0,99.0,0.48,11.76,7.29,356,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,9,51,999,99.0,99.0,0.52,11.76,7.35,352,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,10,21,999,99.0,99.0,0.48,11.11,6.64,351,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,10,51,999,99.0,99.0,0.52,11.76,6.94,352,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,11,21,999,99.0,99.0,0.48,11.76,6.21,355,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,11,51,999,99.0,99.0,0.45,11.76,5.44,351,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,12,21,999,99.0,99.0,0.52,11.76,4.24,353,9999.0,999.0,13.2,999.0,99.0,99.00
2015,1,3,12,51,999,99.0,99.0,0.52,11.76,5.12,356,9999.0,999.0,13.2,999.0,99.0,99.00
