#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2019,1,1,0,0,999,99.0,99.0,1.46,11.11,6.56,346,9999.0,999.0,13.6,999.0,99.0,99.00
2019,1,1,0,30,999,99.0,99.0,1.50,9.88,6.29,341,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,1,0,999,99.0,99.0,1.44,11.76,6.40,351,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,1,30,999,99.0,99.0,1.33,11.11,6.17,343,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,2,0,999,99.0,99.0,1.33,9.88,6.38,343,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,2,30,999,99.0,99.0,1.26,10.53,6.25,339,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,3,0,999,99.0,99.0,1.24,9.88,6.63,341,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,3,30,999,99.0,99.0,1.22,9.88,6.46,343,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,4,0,999,99.0,99.0,1.08,10.53,6.20,345,9999.0,999.0,13.5,999.0,99.0,99.00
2019,1,1,4,30,999,99.0,99.0,1.04,9.88,6.39,341,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,5,0,999,99.0,99.0,1.11,9.88,6.98,339,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,5,30,999,99.0,99.0,1.10,11.11,7.05,343,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,6,0,999,99.0,99.0,1.15,9.88,7.40,342,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,6,30,999,99.0,99.0,1.16,10.53,7.67,342,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,7,0,999,99.0,99.0,1.06,9.09,7.19,334,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,7,30,999,99.0,99.0,1.11,11.11,7.26,342,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,8,0,999,99.0,99.0,1.09,11.11,7.45,343,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,8,30,999,99.0,99.0,1.02,10.53,7.41,343,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,9,0,999,99.0,99.0,0.94,9.88,7.18,338,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,9,30,999,99.0,99.0,0.95,9.88,6.98,338,9999.0,999.0,13.4,999.0,99.0,99.00
2019,1,1,10,0,999,99.0,99.0,0.98,9.88,7.08,341,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,10,30,999,99.0,99.0,1.04,9.88,7.17,338,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,11,0,999,99.0,99.0,0.90,9.88,6.39,341,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,11,30,999,99.0,99.0,0.97,11.76,7.00,348,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,12,0,999,99.0,99.0,1.00,11.11,6.56,342,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,12,30,999,99.0,99.0,0.91,11.76,6.39,343,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,13,0,999,99.0,99.0,0.97,11.11,6.81,346,9999.0,999.0,13.2,999.0,99.0,99.00
2019,1,1,13,30,999,99.0,99.0,0.92,12.50,5.97,348,9999.0,999.0,13.3,999.0,99.0,99.00
2019,1,1,14,0,999,99.0,99.0,0.97,9.88,6.25,342,9999.0,999.0,13.2,999.0,99.0,99.00
