#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2021,1,2,2,56,999,99.0,99.0,1.27,10.53,9.77,346,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,2,3,26,999,99.0,99.0,1.18,11.11,9.89,349,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,2,3,56,999,99.0,99.0,1.18,11.11,9.63,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,4,26,999,99.0,99.0,1.23,13.33,9.76,355,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,4,56,999,99.0,99.0,1.30,11.76,9.97,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,5,26,999,99.0,99.0,1.18,11.11,9.66,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,5,56,999,99.0,99.0,1.12,11.11,9.62,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,6,26,999,99.0,99.0,1.28,12.50,10.36,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,6,56,999,99.0,99.0,1.17,13.33,10.05,351,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,7,26,999,99.0,99.0,1.39,11.76,10.70,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,7,56,999,99.0,99.0,1.37,13.33,11.02,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,8,26,999,99.0,99.0,1.43,14.29,11.12,346,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,2,8,56,999,99.0,99.0,1.39,20.00,11.25,356,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,9,26,999,99.0,99.0,1.44,13.33,11.43,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,9,56,999,99.0,99.0,1.35,20.00,11.58,356,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,10,26,999,99.0,99.0,1.36,20.00,11.86,355,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,10,56,999,99.0,99.0,1.47,20.00,12.75,358,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,11,26,999,99.0,99.0,1.36,20.00,11.96,2,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,11,56,999,99.0,99.0,1.47,20.00,12.35,0,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,12,26,999,99.0,99.0,1.46,20.00,12.91,353,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,12,56,999,99.0,99.0,1.24,12.50,11.97,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,13,26,999,99.0,99.0,1.32,20.00,12.26,5,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,13,56,999,99.0,99.0,1.25,20.00,12.06,10,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,14,26,999,99.0,99.0,1.22,18.18,11.49,14,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,14,56,999,99.0,99.0,1.16,12.50,11.39,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,15,26,999,99.0,99.0,1.13,12.50,11.18,356,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,2,15,56,999,99.0,99.0,1.15,20.00,10.95,17,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,16,26,999,99.0,99.0,1.27,18.18,11.67,12,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,16,56,999,99.0,99.0,1.30,18.18,11.35,12,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,17,26,999,99.0,99.0,1.34,20.00,11.37,3,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,17,56,999,99.0,99.0,1.57,18.18,12.70,9,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,18,26,999,99.0,99.0,1.59,18.18,11.99,12,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,18,56,999,99.0,99.0,1.75,18.18,12.83,10,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,19,26,999,99.0,99.0,1.49,18.18,11.99,16,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,19,56,999,99.0,99.0,1.59,11.76,11.48,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,20,26,999,99.0,99.0,1.69,20.00,12.45,3,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,20,56,999,99.0,99.0,1.70,18.18,12.81,5,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,21,26,999,99.0,99.0,1.72,11.76,12.15,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,21,56,999,99.0,99.0,1.79,16.67,12.21,3,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,22,26,999,99.0,99.0,1.63,18.18,12.14,7,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,22,56,999,99.0,99.0,1.82,18.18,12.34,10,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,23,26,999,99.0,99.0,1.66,11.76,11.42,345,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,2,23,56,999,99.0,99.0,1.58,12.50,11.42,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,0,26,999,99.0,99.0,1.52,18.18,11.52,6,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,0,56,999,99.0,99.0,1.60,11.11,11.16,345,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,1,26,999,99.0,99.0,1.80,11.11,11.87,345,9999.0,999.0,12.2,999.0,99.0,99.00
