#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2016,1,1,0,19,999,99.0,99.0,0.84,11.76,7.31,346,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,0,49,999,99.0,99.0,0.76,11.76,6.82,352,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,1,19,999,99.0,99.0,0.74,11.76,6.83,349,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,2,19,999,99.0,99.0,0.71,11.11,5.98,348,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,2,49,999,99.0,99.0,0.78,12.50,6.45,345,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,3,19,999,99.0,99.0,0.78,14.29,6.82,358,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,3,49,999,99.0,99.0,0.72,11.11,6.38,346,9999.0,999.0,12.4,999.0,99.0,99.00
2016,1,1,4,19,999,99.0,99.0,0.65,10.53,6.26,346,9999.0,999.0,12.3,999.0,99.0,99.00
2016,1,1,4,49,999,99.0,99.0,0.69,11.76,7.16,352,9999.0,999.0,12.3,999.0,99.0,99.00
2016,1,1,5,19,999,99.0,99.0,0.69,11.11,7.29,349,9999.0,999.0,12.3,999.0,99.0,99.00
2016,1,1,6,49,999,99.0,99.0,0.69,11.11,7.02,348,9999.0,999.0,12.3,999.0,99.0,99.00
2016,1,1,7,19,999,99.0,99.0,0.67,12.50,6.86,353,9999.0,999.0,12.3,999.0,99.0,99.00
2016,1,1,7,49,999,99.0,99.0,0.70,12.50,7.15,353,9999.0,999.0,12.3,999.0,99.0,99.00
2016,1,1,8,19,999,99.0,99.0,0.71,13.33,6.62,353,9999.0,999.0,12.3,999.0,99.0,99.00
