#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2017,1,2,1,19,999,99.0,99.0,1.77,11.76,6.34,352,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,1,49,999,99.0,99.0,1.72,10.53,6.41,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,2,19,999,99.0,99.0,1.63,10.53,6.39,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,2,49,999,99.0,99.0,1.52,9.88,6.44,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,3,19,999,99.0,99.0,1.57,10.53,7.00,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,3,49,999,99.0,99.0,1.48,10.53,7.02,348,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,4,19,999,99.0,99.0,1.48,9.88,7.37,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,4,49,999,99.0,99.0,1.44,11.11,7.57,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,5,19,999,99.0,99.0,1.37,9.88,7.60,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,5,49,999,99.0,99.0,1.25,9.09,7.41,339,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,6,19,999,99.0,99.0,1.31,9.88,7.63,342,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,6,49,999,99.0,99.0,1.20,10.53,7.30,346,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,7,19,999,99.0,99.0,1.23,9.88,7.61,341,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,7,49,999,99.0,99.0,1.26,10.53,7.89,342,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,8,19,999,99.0,99.0,1.33,10.53,8.08,343,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,8,49,999,99.0,99.0,1.33,9.88,8.17,342,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,9,19,999,99.0,99.0,1.31,9.88,8.16,339,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,9,49,999,99.0,99.0,1.23,9.88,7.94,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,10,19,999,99.0,99.0,1.22,11.11,8.10,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,10,49,999,99.0,99.0,1.33,9.88,8.25,339,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,11,19,999,99.0,99.0,1.35,10.53,8.40,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,11,49,999,99.0,99.0,1.28,11.11,8.18,348,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,12,19,999,99.0,99.0,1.24,10.53,7.99,343,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,2,12,49,999,99.0,99.0,1.19,9.88,8.15,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,13,19,999,99.0,99.0,1.31,10.53,8.52,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,13,49,999,99.0,99.0,1.28,11.11,8.46,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,14,19,999,99.0,99.0,1.14,9.09,8.05,338,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,14,49,999,99.0,99.0,1.12,10.53,8.16,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,15,19,999,99.0,99.0,0.94,9.09,7.91,335,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,15,49,999,99.0,99.0,0.95,9.88,8.55,339,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,16,19,999,99.0,99.0,0.93,11.11,8.47,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,16,49,999,99.0,99.0,0.91,11.11,8.40,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,17,19,999,99.0,99.0,1.02,11.76,8.79,352,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,17,49,999,99.0,99.0,1.00,11.11,9.05,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,18,19,999,99.0,99.0,0.95,11.11,8.74,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,18,49,999,99.0,99.0,1.06,11.76,9.09,355,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,19,19,999,99.0,99.0,1.14,11.11,9.73,346,9999.0,999.0,12.0,999.0,99.0,99.00
