#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2013,1,1,5,51,999,99.0,99.0,0.97,18.18,9.93,3,9999.0,999.0,12.6,999.0,99.0,99.00
2013,1,1,6,21,999,99.0,99.0,0.97,18.18,10.05,0,9999.0,999.0,12.6,999.0,99.0,99.00
2013,1,1,6,51,999,99.0,99.0,1.10,18.18,10.92,7,9999.0,999.0,12.5,999.0,99.0,99.00
2013,1,1,7,21,999,99.0,99.0,0.96,18.18,10.38,3,9999.0,999.0,12.5,999.0,99.0,99.00
2013,1,1,7,51,999,99.0,99.0,1.02,16.67,10.99,0,9999.0,999.0,12.5,999.0,99.0,99.00
2013,1,1,8,21,999,99.0,99.0,1.12,18.18,12.18,9,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,8,51,999,99.0,99.0,1.11,16.67,11.80,5,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,9,21,999,99.0,99.0,1.19,16.67,12.29,5,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,9,51,999,99.0,99.0,1.10,12.50,11.47,348,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,10,21,999,99.0,99.0,1.06,16.67,11.84,0,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,10,51,999,99.0,99.0,1.19,16.67,12.27,359,9999.0,999.0,12.3,999.0,99.0,99.00
2013,1,1,11,21,999,99.0,99.0,1.13,16.67,11.72,0,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,11,51,999,99.0,99.0,1.08,16.67,11.58,2,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,12,21,999,99.0,99.0,1.23,16.67,11.89,2,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,12,51,999,99.0,99.0,1.07,16.67,11.06,7,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,13,21,999,99.0,99.0,1.05,16.67,11.35,3,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,13,51,999,99.0,99.0,1.00,16.67,10.56,5,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,14,21,999,99.0,99.0,1.10,13.33,11.19,353,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,14,51,999,99.0,99.0,1.10,16.67,11.02,2,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,15,21,999,99.0,99.0,1.01,15.38,10.41,6,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,15,51,999,99.0,99.0,0.99,16.67,11.05,358,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,16,21,999,99.0,99.0,1.09,16.67,11.47,359,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,16,51,999,99.0,99.0,1.05,16.67,12.09,358,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,17,21,999,99.0,99.0,1.03,14.29,11.93,2,9999.0,999.0,12.4,999.0,99.0,99.00
2013,1,1,17,51,999,99.0,99.0,1.09,16.67,11.94,359,9999.0,999.0,12.4,999.0,99.0,99.00
