"Site","Year","Num.Seastars"
"East",2014,4.5
"East",2015,11
"East",2016,NA
"East",2017,5
"East",2021,1
"East",2023,3
"East",2024,4
"West",2014,1.6
"West",2015,0.9
"West",2016,6.5
"West",2017,1
"West",2021,3
"West",2023,1.5
"West",2024,4
