#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 04 01 00 26 999 99.0 99.0  0.55 10.53  5.98 351 9999.0 999.0  13.2 999.0 99.0 99.00
2023 04 01 00 56 999 99.0 99.0  0.57  9.88  5.80 339 9999.0 999.0  13.1 999.0 99.0 99.00
2023 04 01 01 26 999 99.0 99.0  0.54  9.09  5.33 338 9999.0 999.0  13.2 999.0 99.0 99.00
2023 04 01 01 56 999 99.0 99.0  0.53 15.38  5.36 353 9999.0 999.0  13.2 999.0 99.0 99.00
2023 04 01 02 26 999 99.0 99.0  0.51  9.09  5.38 339 9999.0 999.0  13.2 999.0 99.0 99.00
2023 04 01 02 56 999 99.0 99.0  0.54 10.53  5.45 346 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 03 26 999 99.0 99.0  0.54  9.09  5.63 342 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 03 56 999 99.0 99.0  0.51  9.88  5.59 345 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 04 26 999 99.0 99.0  0.53  9.09  5.60 339 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 04 56 999 99.0 99.0  0.57  9.09  5.64 338 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 05 26 999 99.0 99.0  0.60  9.09  5.70 339 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 05 56 999 99.0 99.0  0.58  8.33  5.49 338 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 06 26 999 99.0 99.0  0.60  8.33  5.42 335 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 06 56 999 99.0 99.0  0.57  9.88  5.05 352 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 07 26 999 99.0 99.0  0.56  7.69  4.63 334 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 07 56 999 99.0 99.0  0.53  9.09  4.57 339 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 08 26 999 99.0 99.0  0.52  9.09  4.52 338 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 08 56 999 99.0 99.0  0.49 15.38  4.85 349 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 09 26 999 99.0 99.0  0.42  8.33  4.52 338 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 09 56 999 99.0 99.0  0.44 12.50  5.08 351 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 10 26 999 99.0 99.0  0.42 12.50  5.24 352 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 10 56 999 99.0 99.0  0.40 12.50  5.21 355 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 11 26 999 99.0 99.0  0.38 15.38  5.43   0 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 11 56 999 99.0 99.0  0.39 11.76  5.89 358 9999.0 999.0  12.8 999.0 99.0 99.00
2023 04 01 12 26 999 99.0 99.0  0.39 12.50  5.78 355 9999.0 999.0  12.8 999.0 99.0 99.00
2023 04 01 12 56 999 99.0 99.0  0.38 11.76  6.13   0 9999.0 999.0  12.8 999.0 99.0 99.00
2023 04 01 13 26 999 99.0 99.0  0.37 11.76  6.29 351 9999.0 999.0  12.8 999.0 99.0 99.00
2023 04 01 13 56 999 99.0 99.0  0.40 11.11  6.45 349 9999.0 999.0  12.8 999.0 99.0 99.00
2023 04 01 14 26 999 99.0 99.0  0.40 11.11  6.77 351 9999.0 999.0  12.7 999.0 99.0 99.00
2023 04 01 14 56 999 99.0 99.0  0.42 11.76  7.04 352 9999.0 999.0  12.7 999.0 99.0 99.00
2023 04 01 15 26 999 99.0 99.0  0.38 12.50  6.48 348 9999.0 999.0  12.7 999.0 99.0 99.00
2023 04 01 15 56 999 99.0 99.0  0.42 11.76  6.16 353 9999.0 999.0  12.7 999.0 99.0 99.00
2023 04 01 16 26 999 99.0 99.0  0.40 11.11  6.07 349 9999.0 999.0  12.8 999.0 99.0 99.00
2023 04 01 16 56 999 99.0 99.0  0.43 11.76  6.99 355 9999.0 999.0  12.9 999.0 99.0 99.00
2023 04 01 17 26 999 99.0 99.0  0.39 12.50  6.61 356 9999.0 999.0  13.0 999.0 99.0 99.00
2023 04 01 17 56 999 99.0 99.0  0.36 14.29  6.44 345 9999.0 999.0  13.1 999.0 99.0 99.00
2023 04 01 18 26 999 99.0 99.0  0.37 13.33  6.51 359 9999.0 999.0  13.4 999.0 99.0 99.00
2023 04 01 18 56 999 99.0 99.0  0.36 13.33  6.64   5 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 19 26 999 99.0 99.0  0.37 14.29  6.89 353 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 19 56 999 99.0 99.0  0.40 14.29  5.74 352 9999.0 999.0  13.8 999.0 99.0 99.00
2023 04 01 20 26 999 99.0 99.0  0.36 14.29  6.40 349 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 20 56 999 99.0 99.0  0.37 15.38  6.05 349 9999.0 999.0  13.7 999.0 99.0 99.00
2023 04 01 21 26 999 99.0 99.0  0.38 15.38  5.41 349 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 21 56 999 99.0 99.0  0.41 14.29  4.42 348 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 22 26 999 99.0 99.0  0.43 14.29  3.90 348 9999.0 999.0  13.5 999.0 99.0 99.00
2023 04 01 22 56 999 99.0 99.0  0.45 15.38  3.75 348 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 23 26 999 99.0 99.0  0.49 13.33  3.77 358 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 01 23 56 999 99.0 99.0  0.53 14.29  3.73 348 9999.0 999.0  13.6 999.0 99.0 99.00
2023 04 02 00 26 999 99.0 99.0  0.57  3.70  3.78 328 9999.0 999.0  13.5 999.0 99.0 99.00
2023 04 02 00 56 999 99.0 99.0  0.58  3.70  3.76 328 9999.0 999.0  13.5 999.0 99.0 99.00
2023 04 02 01 26 999 99.0 99.0  0.66  4.00  3.80 328 9999.0 999.0  13.5 999.0 99.0 99.00
2023 04 02 01 56 999 99.0 99.0  0.69  3.85  3.80 331 9999.0 999.0  13.4 999.0 99.0 99.00
