#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 09 01 00 26 999 99.0 99.0  1.07  9.09  7.41 339 9999.0 999.0  17.9 999.0 99.0 99.00
2023 09 01 00 56 999 99.0 99.0  1.14  9.88  7.63 345 9999.0 999.0  18.0 999.0 99.0 99.00
2023 09 01 01 26 999 99.0 99.0  1.04  9.88  7.41 342 9999.0 999.0  17.9 999.0 99.0 99.00
2023 09 01 01 56 999 99.0 99.0  1.04  9.09  7.40 338 9999.0 999.0  17.9 999.0 99.0 99.00
2023 09 01 02 26 999 99.0 99.0  1.04  9.09  7.19 338 9999.0 999.0  17.8 999.0 99.0 99.00
2023 09 01 02 56 999 99.0 99.0  0.98  9.88  7.35 338 9999.0 999.0  17.4 999.0 99.0 99.00
2023 09 01 03 26 999 99.0 99.0  0.94  9.09  7.46 336 9999.0 999.0  16.8 999.0 99.0 99.00
2023 09 01 03 56 999 99.0 99.0  0.87  9.09  7.25 336 9999.0 999.0  16.0 999.0 99.0 99.00
2023 09 01 04 26 999 99.0 99.0  0.86  9.09  7.25 335 9999.0 999.0  16.4 999.0 99.0 99.00
2023 09 01 04 56 999 99.0 99.0  0.84  9.09  7.23 334 9999.0 999.0  16.1 999.0 99.0 99.00
2023 09 01 05 26 999 99.0 99.0  0.87  9.09  7.53 334 9999.0 999.0  16.5 999.0 99.0 99.00
2023 09 01 05 56 999 99.0 99.0  0.78  9.09  7.38 334 9999.0 999.0  16.5 999.0 99.0 99.00
2023 09 01 06 26 999 99.0 99.0  0.81  9.09  7.42 332 9999.0 999.0  16.4 999.0 99.0 99.00
2023 09 01 06 56 999 99.0 99.0  0.75  9.09  7.07 332 9999.0 999.0  16.2 999.0 99.0 99.00
2023 09 01 07 26 999 99.0 99.0  0.70  9.09  6.78 334 9999.0 999.0  16.4 999.0 99.0 99.00
2023 09 01 07 56 999 99.0 99.0  0.76  9.09  7.00 335 9999.0 999.0  16.9 999.0 99.0 99.00
2023 09 01 08 26 999 99.0 99.0  0.74  8.33  6.95 334 9999.0 999.0  16.9 999.0 99.0 99.00
2023 09 01 08 56 999 99.0 99.0  0.68  8.33  6.90 334 9999.0 999.0  17.0 999.0 99.0 99.00
2023 09 01 09 26 999 99.0 99.0  0.66  8.33  6.82 332 9999.0 999.0  16.6 999.0 99.0 99.00
2023 09 01 09 56 999 99.0 99.0  0.56  7.69  6.49 329 9999.0 999.0  16.4 999.0 99.0 99.00
2023 09 01 10 26 999 99.0 99.0  0.55  8.33  6.84 332 9999.0 999.0  16.1 999.0 99.0 99.00
2023 09 01 10 56 999 99.0 99.0  0.57  7.69  6.76 329 9999.0 999.0  16.0 999.0 99.0 99.00
2023 09 01 11 26 999 99.0 99.0  0.61  7.69  6.46 332 9999.0 999.0  16.5 999.0 99.0 99.00
2023 09 01 11 56 999 99.0 99.0  0.64  7.14  6.17 329 9999.0 999.0  17.8 999.0 99.0 99.00
2023 09 01 12 26 999 99.0 99.0  0.61  7.69  5.97 332 9999.0 999.0  18.2 999.0 99.0 99.00
2023 09 01 12 56 999 99.0 99.0  0.63  7.69  6.17 332 9999.0 999.0  18.2 999.0 99.0 99.00
2023 09 01 13 26 999 99.0 99.0  0.56  7.69  5.96 329 9999.0 999.0  18.2 999.0 99.0 99.00
2023 09 01 13 56 999 99.0 99.0  0.52  9.88  5.83 339 9999.0 999.0  18.2 999.0 99.0 99.00
2023 09 01 14 26 999 99.0 99.0  0.49  6.25  5.69 321 9999.0 999.0  18.1 999.0 99.0 99.00
2023 09 01 14 56 999 99.0 99.0  0.47  7.14  5.76 327 9999.0 999.0  18.0 999.0 99.0 99.00
2023 09 01 15 26 999 99.0 99.0  0.45  7.14  5.72 327 9999.0 999.0  18.0 999.0 99.0 99.00
2023 09 01 15 56 999 99.0 99.0  0.40  7.14  5.52 324 9999.0 999.0  18.0 999.0 99.0 99.00
2023 09 01 16 26 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  17.8 999.0 99.0 99.00
2023 09 01 16 56 999 99.0 99.0  0.41 20.00  6.49 348 9999.0 999.0  18.2 999.0 99.0 99.00
2023 09 01 17 26 999 99.0 99.0  0.41 18.18  6.68 351 9999.0 999.0  18.4 999.0 99.0 99.00
2023 09 01 17 56 999 99.0 99.0  0.42 20.00  6.58 356 9999.0 999.0  18.1 999.0 99.0 99.00
2023 09 01 18 26 999 99.0 99.0  0.45 18.18  7.02 351 9999.0 999.0  18.5 999.0 99.0 99.00
2023 09 01 18 56 999 99.0 99.0  0.45 18.18  6.40 356 9999.0 999.0  17.6 999.0 99.0 99.00
2023 09 01 19 26 999 99.0 99.0  0.42 18.18  6.20 345 9999.0 999.0  18.0 999.0 99.0 99.00
2023 09 01 19 56 999 99.0 99.0  0.45 18.18  6.66 345 9999.0 999.0  17.7 999.0 99.0 99.00
2023 09 01 20 26 999 99.0 99.0  0.50 18.18  6.65 346 9999.0 999.0  17.4 999.0 99.0 99.00
