#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 10 01 00 26 999 99.0 99.0  1.41  9.88  7.50 345 9999.0 999.0  17.1 999.0 99.0 99.00
2023 10 01 00 56 999 99.0 99.0  1.39  9.88  7.47 346 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 01 01 26 999 99.0 99.0  1.34  9.88  7.37 346 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 01 01 56 999 99.0 99.0  1.31  9.88  7.34 349 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 01 02 26 999 99.0 99.0  1.28 10.53  7.58 346 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 02 56 999 99.0 99.0  1.18 10.53  7.33 346 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 01 03 26 999 99.0 99.0  1.16 10.53  7.55 343 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 03 56 999 99.0 99.0  1.15  9.88  7.50 339 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 04 26 999 99.0 99.0  1.28  9.88  8.10 343 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 04 56 999 99.0 99.0  1.14 10.53  7.72 345 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 05 26 999 99.0 99.0  1.18  9.88  8.01 345 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 05 56 999 99.0 99.0  1.45 10.53  8.47 345 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 06 26 999 99.0 99.0  1.32 10.53  8.05 346 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 06 56 999 99.0 99.0  1.27 10.53  7.96 343 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 07 26 999 99.0 99.0  1.49  9.88  8.31 342 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 07 56 999 99.0 99.0  1.42  9.88  7.95 341 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 08 26 999 99.0 99.0  1.41  9.88  8.07 341 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 01 08 56 999 99.0 99.0  1.42 10.53  8.03 346 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 09 26 999 99.0 99.0  1.49  9.88  8.07 343 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 09 56 999 99.0 99.0  1.44  9.88  8.19 343 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 10 26 999 99.0 99.0  1.51 11.11  8.31 345 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 10 56 999 99.0 99.0  1.42  9.88  8.03 346 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 11 26 999 99.0 99.0  1.50  9.88  8.29 345 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 11 56 999 99.0 99.0  1.46  9.88  8.23 343 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 01 12 26 999 99.0 99.0  1.58  9.88  8.35 343 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 01 12 56 999 99.0 99.0  1.56 10.53  8.31 343 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 01 13 26 999 99.0 99.0  1.46  9.88  8.02 343 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 01 13 56 999 99.0 99.0  1.42 10.53  8.11 343 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 14 26 999 99.0 99.0  1.37  9.88  7.85 342 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 14 56 999 99.0 99.0  1.23  9.88  7.74 342 9999.0 999.0  16.4 999.0 99.0 99.00
2023 10 01 15 26 999 99.0 99.0  1.32 10.53  8.04 343 9999.0 999.0  16.4 999.0 99.0 99.00
2023 10 01 15 56 999 99.0 99.0  1.22  9.88  8.22 339 9999.0 999.0  16.4 999.0 99.0 99.00
2023 10 01 16 26 999 99.0 99.0  1.23 10.53  8.27 345 9999.0 999.0  16.2 999.0 99.0 99.00
2023 10 01 16 56 999 99.0 99.0  1.42 10.53  8.39 343 9999.0 999.0  16.2 999.0 99.0 99.00
2023 10 01 17 26 999 99.0 99.0  1.29  9.88  8.31 342 9999.0 999.0  16.4 999.0 99.0 99.00
2023 10 01 17 56 999 99.0 99.0  1.29  9.88  8.56 339 9999.0 999.0  16.4 999.0 99.0 99.00
2023 10 01 18 26 999 99.0 99.0  1.09 10.53  8.34 345 9999.0 999.0  16.4 999.0 99.0 99.00
2023 10 01 18 56 999 99.0 99.0  1.17  9.88  8.32 339 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 01 19 26 999 99.0 99.0  1.19  9.88  8.50 339 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 19 56 999 99.0 99.0  1.31 11.11  8.61 345 9999.0 999.0  17.1 999.0 99.0 99.00
2023 10 01 20 26 999 99.0 99.0  1.30 11.11  8.87 345 9999.0 999.0  17.1 999.0 99.0 99.00
2023 10 01 20 56 999 99.0 99.0  1.26 11.11  8.82 348 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 01 21 26 999 99.0 99.0  1.33 11.11  8.70 348 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 01 21 56 999 99.0 99.0  1.22 11.76  8.32 349 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 22 26 999 99.0 99.0  1.15 10.53  7.91 345 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 22 56 999 99.0 99.0  1.25 11.11  8.17 351 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 23 26 999 99.0 99.0  1.22 11.11  8.19 349 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 23 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 01 23 56 999 99.0 99.0  1.13 11.11  8.00 348 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 02 00 26 999 99.0 99.0  1.26 10.53  8.33 348 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 02 00 56 999 99.0 99.0  1.31 11.11  8.61 348 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 02 01 26 999 99.0 99.0  1.32 11.76  8.52 348 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 02 01 56 999 99.0 99.0  1.27 11.11  8.43 348 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 02 02 26 999 99.0 99.0  1.30 11.11  8.56 351 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 02 02 56 999 99.0 99.0  1.32 11.11  8.62 349 9999.0 999.0  17.0 999.0 99.0 99.00
2023 10 02 03 26 999 99.0 99.0  1.23 10.53  8.58 346 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 02 03 56 999 99.0 99.0  1.17 10.53  8.49 346 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 02 04 26 999 99.0 99.0  1.26 11.11  8.90 348 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 02 04 56 999 99.0 99.0  1.02 10.53  8.59 346 9999.0 999.0  16.9 999.0 99.0 99.00
2023 10 02 05 26 999 99.0 99.0  1.35 10.53  9.47 345 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 02 05 56 999 99.0 99.0  1.55 11.11  9.73 348 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 02 06 26 999 99.0 99.0  1.43 10.53  9.61 346 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 02 06 56 999 99.0 99.0  1.33 11.11  9.42 345 9999.0 999.0  16.8 999.0 99.0 99.00
2023 10 02 07 26 999 99.0 99.0  1.28 10.53  9.26 343 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 02 07 56 999 99.0 99.0  1.20  9.88  9.06 339 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 02 08 26 999 99.0 99.0  1.29 11.11  9.34 345 9999.0 999.0  16.7 999.0 99.0 99.00
2023 10 02 08 56 999 99.0 99.0  1.25 10.53  9.25 341 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 02 09 26 999 99.0 99.0  1.11  9.88  9.06 336 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 02 09 56 999 99.0 99.0  1.11 11.11  9.18 345 9999.0 999.0  16.6 999.0 99.0 99.00
2023 10 02 10 26 999 99.0 99.0  1.12 10.53  9.15 341 9999.0 999.0  16.5 999.0 99.0 99.00
